"";"sentimentTerm";"score"
"571";"boom";0,004
"572";"boomen";0,004
"573";"borniert";-0,0048
"574";"bösartig";-0,4715
"575";"bösartigkeit";-0,3189
"576";"böse";-0,4183
"577";"bösewicht";-0,0048
"578";"boshaft";-0,3187
"579";"bosheit";-0,3371
"580";"brand";-0,0048
"581";"brandneu";0,004
"582";"bravourös";0,004
"583";"brechen";-0,7991
"584";"breitgefächert";0,004
"585";"brennen";-0,0048
"586";"brillant";0,3064
"587";"brillanz";0,004
"588";"brilliant";0,183
"589";"brillieren";0,004
"590";"brisant";-0,0048
"591";"brüchig";-0,3331
"592";"bruch";-0,3463
"593";"brüderlich";0,004
"594";"brüderlichkeit";0,004
"595";"brutalität";-0,0048
"596";"brutal";-0,0048
"597";"bündnis";0,004
"598";"bund";0,004
"599";"bunt";0,3507
"600";"bürde";-0,0524
"601";"bußgeld";-0,3377
"602";"champion";0,004
"603";"chaos";-0,3489
"604";"chaotisch";-0,0426
"605";"charakterschwach";-0,0048
"606";"charakterstark";0,004
"607";"charisma";0,004
"608";"charismatisch";0,004
"609";"charmant";0,3223
"610";"charme";0,004
"611";"chic";0,0787
"612";"clever";0,2243
"613";"cleverness";0,004
"614";"comeback";0,0712
"615";"cool";0,004
"616";"crash";-0,1885
"617";"dahinschwinden";-0,0048
"618";"dämlich";-0,048
"619";"dämpfen";-0,0411
"620";"dämpfer";-0,0048
"621";"dankbar";0,0854
"622";"dankbarkeit";0,004
"623";"danken";0,191
"624";"dauerhaft";0,205
"625";"debil";-0,306
"626";"defekt";-0,1754
"627";"defizit";-0,347
"628";"defizitär";-0,4535
"629";"deformation";-0,0048
"630";"deformieren";-0,0048
"631";"degradieren";-0,0048
"632";"degradierung";-0,3137
"633";"deinstallieren";-0,0048
"634";"deinstalliert";-0,0048
"635";"dekadent";-0,1769
"636";"dekadenz";-0,0048
"637";"demütigen";-0,0048
"638";"demütigung";-0,0048
"639";"denkfaul";-0,0048
"640";"denkfehler";-0,0048
"641";"denkwürdig";0,004
"642";"depression";-0,4951
"643";"depressiv";-0,4715
"644";"desaster";-0,3413
"645";"desinteresse";-0,3348
"646";"desinteressiert";-0,0048
"647";"desolat";-0,0048
"648";"destruktiv";-0,1936
